Indicador;Comunidad autónoma;Grupos de gasto;periodo;Total
TOTAL (Millones de euros);Balears (Illes);Servicios culturales;2020;32,6
TOTAL (Millones de euros);Balears (Illes);Servicios culturales;2019;74,4
TOTAL (Millones de euros);Balears (Illes);Servicios culturales;2018;62,2
TOTAL (Millones de euros);Balears (Illes);Servicios culturales;2017;62,6
TOTAL (Millones de euros);Balears (Illes);Servicios culturales;2016;58,9
TOTAL (Millones de euros);Balears (Illes);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2023;95,6
TOTAL (Millones de euros);Balears (Illes);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2022;89,0
TOTAL (Millones de euros);Balears (Illes);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2021;80,3
TOTAL (Millones de euros);Balears (Illes);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2020;64,9
TOTAL (Millones de euros);Balears (Illes);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2019;86,1
TOTAL (Millones de euros);Balears (Illes);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2018;81,1
TOTAL (Millones de euros);Balears (Illes);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2017;96,6
TOTAL (Millones de euros);Balears (Illes);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2016;80,7
TOTAL (Millones de euros);Balears (Illes);Telefonía móvil y servicios relacionados con Internet;2023;110,1
TOTAL (Millones de euros);Balears (Illes);Telefonía móvil y servicios relacionados con Internet;2022;89,0
TOTAL (Millones de euros);Balears (Illes);Telefonía móvil y servicios relacionados con Internet;2021;81,2
TOTAL (Millones de euros);Balears (Illes);Telefonía móvil y servicios relacionados con Internet;2020;64,0
TOTAL (Millones de euros);Balears (Illes);Telefonía móvil y servicios relacionados con Internet;2019;98,3
TOTAL (Millones de euros);Balears (Illes);Telefonía móvil y servicios relacionados con Internet;2018;113,0
TOTAL (Millones de euros);Balears (Illes);Telefonía móvil y servicios relacionados con Internet;2017;128,8
TOTAL (Millones de euros);Balears (Illes);Telefonía móvil y servicios relacionados con Internet;2016;145,2
TOTAL (Millones de euros);Canarias;Libro y publicaciones periódicas;2023;70,0
TOTAL (Millones de euros);Canarias;Libro y publicaciones periódicas;2022;52,4
TOTAL (Millones de euros);Canarias;Libro y publicaciones periódicas;2021;61,6
TOTAL (Millones de euros);Canarias;Libro y publicaciones periódicas;2020;49,2
TOTAL (Millones de euros);Canarias;Libro y publicaciones periódicas;2019;69,1
TOTAL (Millones de euros);Canarias;Libro y publicaciones periódicas;2018;85,1
TOTAL (Millones de euros);Canarias;Libro y publicaciones periódicas;2017;77,9
TOTAL (Millones de euros);Canarias;Libro y publicaciones periódicas;2016;117,5
TOTAL (Millones de euros);Canarias;Servicios culturales;2023;86,9
TOTAL (Millones de euros);Canarias;Servicios culturales;2022;53,6
TOTAL (Millones de euros);Canarias;Servicios culturales;2021;36,2
TOTAL (Millones de euros);Canarias;Servicios culturales;2020;21,2
TOTAL (Millones de euros);Canarias;Servicios culturales;2019;93,3
TOTAL (Millones de euros);Canarias;Servicios culturales;2018;62,5
TOTAL (Millones de euros);Canarias;Servicios culturales;2017;65,9
TOTAL (Millones de euros);Canarias;Servicios culturales;2016;87,3
TOTAL (Millones de euros);Canarias;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2023;143,6
TOTAL (Millones de euros);Canarias;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2022;179,5
TOTAL (Millones de euros);Canarias;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2021;159,8
TOTAL (Millones de euros);Canarias;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2020;149,7
TOTAL (Millones de euros);Canarias;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2019;139,0
TOTAL (Millones de euros);Canarias;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2018;132,9
TOTAL (Millones de euros);Canarias;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2017;125,8
TOTAL (Millones de euros);Canarias;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2016;135,6
TOTAL (Millones de euros);Canarias;Telefonía móvil y servicios relacionados con Internet;2023;164,2
TOTAL (Millones de euros);Canarias;Telefonía móvil y servicios relacionados con Internet;2022;189,8
TOTAL (Millones de euros);Canarias;Telefonía móvil y servicios relacionados con Internet;2021;173,7
TOTAL (Millones de euros);Canarias;Telefonía móvil y servicios relacionados con Internet;2020;183,3
