Indicador;Ingresos mensuales en el hogar;periodo;Total
GASTO MEDIO POR HOGAR (Euros);Total;2020;556,4
GASTO MEDIO POR HOGAR (Euros);Total;2019;664,4
GASTO MEDIO POR HOGAR (Euros);Total;2018;682,5
GASTO MEDIO POR HOGAR (Euros);Total;2017;718,3
GASTO MEDIO POR HOGAR (Euros);Total;2016;764,4
GASTO MEDIO POR HOGAR (Euros);Menos de 1.000 euros;2023;220,8
GASTO MEDIO POR HOGAR (Euros);Menos de 1.000 euros;2022;246,3
GASTO MEDIO POR HOGAR (Euros);Menos de 1.000 euros;2021;257,7
GASTO MEDIO POR HOGAR (Euros);Menos de 1.000 euros;2020;245,1
GASTO MEDIO POR HOGAR (Euros);Menos de 1.000 euros;2019;269,7
GASTO MEDIO POR HOGAR (Euros);Menos de 1.000 euros;2018;291,3
GASTO MEDIO POR HOGAR (Euros);Menos de 1.000 euros;2017;309,0
GASTO MEDIO POR HOGAR (Euros);Menos de 1.000 euros;2016;336,1
GASTO MEDIO POR HOGAR (Euros);Entre 1.000 y 1.499 euros;2023;338,5
GASTO MEDIO POR HOGAR (Euros);Entre 1.000 y 1.499 euros;2022;339,1
GASTO MEDIO POR HOGAR (Euros);Entre 1.000 y 1.499 euros;2021;333,4
GASTO MEDIO POR HOGAR (Euros);Entre 1.000 y 1.499 euros;2020;376,8
GASTO MEDIO POR HOGAR (Euros);Entre 1.000 y 1.499 euros;2019;461,8
GASTO MEDIO POR HOGAR (Euros);Entre 1.000 y 1.499 euros;2018;438,4
GASTO MEDIO POR HOGAR (Euros);Entre 1.000 y 1.499 euros;2017;498,6
GASTO MEDIO POR HOGAR (Euros);Entre 1.000 y 1.499 euros;2016;525,1
GASTO MEDIO POR HOGAR (Euros);Entre 1.500 y 1.999 euros;2023;457,4
GASTO MEDIO POR HOGAR (Euros);Entre 1.500 y 1.999 euros;2022;482,2
GASTO MEDIO POR HOGAR (Euros);Entre 1.500 y 1.999 euros;2021;478,3
GASTO MEDIO POR HOGAR (Euros);Entre 1.500 y 1.999 euros;2020;492,9
GASTO MEDIO POR HOGAR (Euros);Entre 1.500 y 1.999 euros;2019;597,4
GASTO MEDIO POR HOGAR (Euros);Entre 1.500 y 1.999 euros;2018;604,3
GASTO MEDIO POR HOGAR (Euros);Entre 1.500 y 1.999 euros;2017;674,6
GASTO MEDIO POR HOGAR (Euros);Entre 1.500 y 1.999 euros;2016;726,7
GASTO MEDIO POR HOGAR (Euros);Entre 2.000 y 2.499 euros;2023;544,6
GASTO MEDIO POR HOGAR (Euros);Entre 2.000 y 2.499 euros;2022;574,1
GASTO MEDIO POR HOGAR (Euros);Entre 2.000 y 2.499 euros;2021;569,9
GASTO MEDIO POR HOGAR (Euros);Entre 2.000 y 2.499 euros;2020;580,4
GASTO MEDIO POR HOGAR (Euros);Entre 2.000 y 2.499 euros;2019;660,3
GASTO MEDIO POR HOGAR (Euros);Entre 2.000 y 2.499 euros;2018;773,1
GASTO MEDIO POR HOGAR (Euros);Entre 2.000 y 2.499 euros;2017;802,2
GASTO MEDIO POR HOGAR (Euros);Entre 2.000 y 2.499 euros;2016;938,9
GASTO MEDIO POR HOGAR (Euros);Entre 2.500 y 2.999 euros;2023;632,6
GASTO MEDIO POR HOGAR (Euros);Entre 2.500 y 2.999 euros;2022;650,7
GASTO MEDIO POR HOGAR (Euros);Entre 2.500 y 2.999 euros;2021;638,3
GASTO MEDIO POR HOGAR (Euros);Entre 2.500 y 2.999 euros;2020;699,3
GASTO MEDIO POR HOGAR (Euros);Entre 2.500 y 2.999 euros;2019;863,9
GASTO MEDIO POR HOGAR (Euros);Entre 2.500 y 2.999 euros;2018;870,8
GASTO MEDIO POR HOGAR (Euros);Entre 2.500 y 2.999 euros;2017;915,9
GASTO MEDIO POR HOGAR (Euros);Entre 2.500 y 2.999 euros;2016;1.035,7
GASTO MEDIO POR HOGAR (Euros);3.000 y más euros;2023;944,7
GASTO MEDIO POR HOGAR (Euros);3.000 y más euros;2022;1.032,6
GASTO MEDIO POR HOGAR (Euros);3.000 y más euros;2021;986,0
GASTO MEDIO POR HOGAR (Euros);3.000 y más euros;2020;891,1
GASTO MEDIO POR HOGAR (Euros);3.000 y más euros;2019;1.161,6
GASTO MEDIO POR HOGAR (Euros);3.000 y más euros;2018;1.231,7
GASTO MEDIO POR HOGAR (Euros);3.000 y más euros;2017;1.321,2
GASTO MEDIO POR HOGAR (Euros);3.000 y más euros;2016;1.456,3
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Total;2023;347,5
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Total;2022;356,2
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Total;2021;339,9
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Total;2020;331,0
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Total;2019;395,6
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Total;2018;407,0
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Total;2017;428,2
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Total;2016;455,5
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Menos de 1.000 euros;2023;175,4
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Menos de 1.000 euros;2022;194,2
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Menos de 1.000 euros;2021;195,9
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Menos de 1.000 euros;2020;183,2
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Menos de 1.000 euros;2019;205,5
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Menos de 1.000 euros;2018;219,3
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Menos de 1.000 euros;2017;226,2
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Menos de 1.000 euros;2016;241,3
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 1.000 y 1.499 euros;2023;240,7
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 1.000 y 1.499 euros;2022;238,1
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 1.000 y 1.499 euros;2021;228,7
