Indicador;Comunidad autónoma;Grupo de gasto;periodo;Total
TOTAL (Millones de euros);Comunitat Valenciana;Publicaciones periódicas;2017;58,1
TOTAL (Millones de euros);Comunitat Valenciana;Publicaciones periódicas;2016;77,1
TOTAL (Millones de euros);Extremadura;Libro;2023;32,7
TOTAL (Millones de euros);Extremadura;Libro;2022;30,2
TOTAL (Millones de euros);Extremadura;Libro;2021;32,4
TOTAL (Millones de euros);Extremadura;Libro;2020;31,7
TOTAL (Millones de euros);Extremadura;Libro;2019;28,6
TOTAL (Millones de euros);Extremadura;Libro;2018;32,6
TOTAL (Millones de euros);Extremadura;Libro;2017;34,7
TOTAL (Millones de euros);Extremadura;Libro;2016;35,7
TOTAL (Millones de euros);Extremadura;Publicaciones periódicas;2023;3,5
TOTAL (Millones de euros);Extremadura;Publicaciones periódicas;2022;3,9
TOTAL (Millones de euros);Extremadura;Publicaciones periódicas;2021;9,0
TOTAL (Millones de euros);Extremadura;Publicaciones periódicas;2020;4,9
TOTAL (Millones de euros);Extremadura;Publicaciones periódicas;2019;6,8
TOTAL (Millones de euros);Extremadura;Publicaciones periódicas;2018;5,6
TOTAL (Millones de euros);Extremadura;Publicaciones periódicas;2017;6,7
TOTAL (Millones de euros);Extremadura;Publicaciones periódicas;2016;11,6
TOTAL (Millones de euros);Galicia;Libro;2023;118,2
TOTAL (Millones de euros);Galicia;Libro;2022;107,8
TOTAL (Millones de euros);Galicia;Libro;2021;121,7
TOTAL (Millones de euros);Galicia;Libro;2020;132,9
TOTAL (Millones de euros);Galicia;Libro;2019;97,0
TOTAL (Millones de euros);Galicia;Libro;2018;97,8
TOTAL (Millones de euros);Galicia;Libro;2017;84,6
TOTAL (Millones de euros);Galicia;Libro;2016;86,1
TOTAL (Millones de euros);Galicia;Publicaciones periódicas;2023;38,0
TOTAL (Millones de euros);Galicia;Publicaciones periódicas;2022;35,8
TOTAL (Millones de euros);Galicia;Publicaciones periódicas;2021;45,2
TOTAL (Millones de euros);Galicia;Publicaciones periódicas;2020;47,4
TOTAL (Millones de euros);Galicia;Publicaciones periódicas;2019;40,0
TOTAL (Millones de euros);Galicia;Publicaciones periódicas;2018;42,9
TOTAL (Millones de euros);Galicia;Publicaciones periódicas;2017;46,5
TOTAL (Millones de euros);Galicia;Publicaciones periódicas;2016;63,3
TOTAL (Millones de euros);Madrid (Comunidad de);Libro;2023;324,8
TOTAL (Millones de euros);Madrid (Comunidad de);Libro;2022;342,7
TOTAL (Millones de euros);Madrid (Comunidad de);Libro;2021;283,2
TOTAL (Millones de euros);Madrid (Comunidad de);Libro;2020;348,9
TOTAL (Millones de euros);Madrid (Comunidad de);Libro;2019;375,6
TOTAL (Millones de euros);Madrid (Comunidad de);Libro;2018;416,1
TOTAL (Millones de euros);Madrid (Comunidad de);Libro;2017;432,9
TOTAL (Millones de euros);Madrid (Comunidad de);Libro;2016;444,7
TOTAL (Millones de euros);Madrid (Comunidad de);Publicaciones periódicas;2023;44,1
TOTAL (Millones de euros);Madrid (Comunidad de);Publicaciones periódicas;2022;50,3
TOTAL (Millones de euros);Madrid (Comunidad de);Publicaciones periódicas;2021;64,5
TOTAL (Millones de euros);Madrid (Comunidad de);Publicaciones periódicas;2020;65,1
TOTAL (Millones de euros);Madrid (Comunidad de);Publicaciones periódicas;2019;98,6
TOTAL (Millones de euros);Madrid (Comunidad de);Publicaciones periódicas;2018;96,4
TOTAL (Millones de euros);Madrid (Comunidad de);Publicaciones periódicas;2017;115,1
TOTAL (Millones de euros);Madrid (Comunidad de);Publicaciones periódicas;2016;127,9
TOTAL (Millones de euros);Murcia (Región de);Libro;2023;68,0
